tool,,CPAchecker 2.3.1-svn-45350M,CPAchecker 2.3.1-svn-45350M,CPAchecker 2.3.1-svn-45350M,CPAchecker 2.3.1-svn-45350M,CPAchecker 2.3.1-svn-45350M,CPAchecker 2.3.1-svn-45350M,CPAchecker 2.3.1-svn-45350M
run set,,k10-princess_binary,k10-princess_binary,k10-princess_binary,k10-princess,k10-princess,k10-princess,k10-princess
../programs/benchmarks/,,status,cputime (s),memory (MB),status,cputime (s),memory (MB),host
bitvector/gcd_4.yml,true,true,5.919852683,185.704448,true,5.929675504,172.220416,essexit
bitvector/num_conversion_1.yml,true,true,5.712723655,193.032192,true,5.858018407,193.122304,harzburgit
ldv-regression/test_while_int.c_1.yml,false,false(unreach-call),6.164543531,192.245760,false(unreach-call),6.013186414,192.512000,liparit
ldv-regression/test_while_int.yml,false,false(unreach-call),6.16797685,198.209536,false(unreach-call),6.40205777,192.647168,halitit
loops/for_bounded_loop1.yml,false,false(unreach-call),8.257934624,218.263552,false(unreach-call),8.556637056,213.037056,hawaiit
loops/sum01_bug02.yml,false,false(unreach-call),7.636583757,205.963264,false(unreach-call),7.518060426,212.426752,evaporit
loops/sum04-1.yml,false,false(unreach-call),5.937648047,190.455808,false(unreach-call),6.180033059,195.756032,halitit
loops/sum04-2.yml,true,true,5.993249038,195.260416,true,5.764060827,188.145664,jacupirangit
loop-acceleration/underapprox_1-1.yml,false,false(unreach-call),6.556331406,196.440064,false(unreach-call),6.317299073,199.028736,flint
loop-acceleration/underapprox_2-1.yml,false,false(unreach-call),6.094688212,194.121728,false(unreach-call),6.323807787,195.104768,kaolin
loop-acceleration/underapprox_2-2.yml,true,true,5.456532259,194.969600,true,5.553879707,190.885888,jumillit
loop-invgen/large_const.yml,true,true,438.04374785,4111.937536,true,470.712990036,3303.890944,aplit
loop-lit/cggmp2005.yml,true,true,6.270887418,188.026880,true,5.506306721,194.707456,granulit
loop-simple/nested_1.yml,true,true,5.680324786,195.022848,true,5.355639029,180.006912,foidit
loop-simple/nested_1b.yml,false,false(unreach-call),6.146841672,190.087168,false(unreach-call),5.9623176,197.005312,lignit
nla-digbench-scaling/egcd2-ll_unwindbound1.yml,false,false(unreach-call),7.913543635,207.155200,false(unreach-call),8.023973344,209.395712,liparit
nla-digbench-scaling/egcd3-ll_unwindbound1.yml,false,false(unreach-call),7.172561077,192.421888,false(unreach-call),7.171369262,204.845056,chert
nla-digbench-scaling/egcd3-ll_unwindbound2.yml,false,false(unreach-call),7.390674614,204.337152,false(unreach-call),7.602191766,202.125312,enderbit
nla-digbench-scaling/ps2-ll_unwindbound1.yml,true,true,5.695069209,183.103488,true,5.651579714,185.671680,foidit
nla-digbench-scaling/ps2-ll_unwindbound2.yml,true,true,6.081766242,194.301952,true,6.138332425,196.239360,liparit
nla-digbench-scaling/ps2-ll_unwindbound5.yml,true,true,5.883758248,189.329408,true,5.990128571,179.777536,cipollino
nla-digbench-scaling/ps2-ll_valuebound1.yml,true,true,6.20756496,177.610752,true,6.56788961,190.509056,flint
nla-digbench-scaling/ps2-ll_valuebound2.yml,true,true,6.380412867,178.036736,true,6.502801889,188.338176,impaktit
nla-digbench-scaling/ps2-ll_valuebound5.yml,true,true,6.13189875,192.372736,true,6.458450648,192.475136,granulit
nla-digbench-scaling/ps3-ll_unwindbound1.yml,true,true,5.812998863,190.300160,true,5.395317121,189.321216,lydit
nla-digbench-scaling/ps3-ll_unwindbound2.yml,true,true,5.53931266,178.679808,true,6.022407534,182.837248,felsit
nla-digbench-scaling/ps3-ll_unwindbound5.yml,true,true,5.941069879,187.318272,true,5.874166249,188.596224,halitit
nla-digbench-scaling/ps3-ll_valuebound1.yml,true,true,6.412487648,199.901184,true,6.523906907,193.929216,halitit
nla-digbench-scaling/ps3-ll_valuebound2.yml,true,true,6.968066221,201.125888,true,7.054139097,195.432448,jacupirangit
nla-digbench-scaling/ps3-ll_valuebound5.yml,true,true,6.801586246,193.679360,true,6.836154951,194.772992,chert
nla-digbench-scaling/ps4-ll_valuebound1.yml,true,true,9.243425838,221.343744,true,8.229089535,220.172288,essexit
nla-digbench-scaling/ps4-ll_valuebound2.yml,true,true,7.857338772,199.593984,true,8.529567133,222.896128,foidit
nla-digbench-scaling/ps4-ll_valuebound5.yml,true,true,8.421932641,216.973312,true,8.237635374,213.905408,bauxit
nla-digbench-scaling/ps5-ll_valuebound1.yml,true,true,8.416530918,204.111872,true,8.933557787,215.199744,chert
nla-digbench-scaling/ps5-ll_valuebound2.yml,true,true,9.628052782,220.143616,true,9.167385818,224.514048,foidit
nla-digbench-scaling/ps5-ll_valuebound5.yml,true,true,9.19897431,208.072704,true,10.198339823,218.456064,ignimbrit
nla-digbench-scaling/ps6-ll_valuebound1.yml,true,true,9.307033934,209.240064,true,9.120582718,228.888576,hawaiit
nla-digbench-scaling/ps6-ll_valuebound2.yml,true,true,9.291799502,225.742848,true,9.72896346,217.833472,evaporit
nla-digbench-scaling/ps6-ll_valuebound5.yml,true,true,8.914757879,205.045760,true,10.248286292,228.769792,kaolin
nla-digbench-scaling/sqrt1-ll_unwindbound1.yml,true,true,6.008905977,195.039232,true,6.004912688,190.668800,felsit
nla-digbench-scaling/sqrt1-ll_unwindbound2.yml,true,true,5.870972059,194.752512,true,5.992359528,191.467520,essexit
nla-digbench-scaling/sqrt1-ll_unwindbound5.yml,true,true,6.399852673,186.605568,true,5.9162583,189.448192,bauxit
nla-digbench-scaling/sqrt1-ll_valuebound1.yml,true,true,7.807174722,187.248640,true,7.473951903,207.638528,lydit
nla-digbench-scaling/sqrt1-ll_valuebound10.yml,true,true,7.669559887,202.149888,true,6.896015986,194.174976,kaolin
nla-digbench-scaling/sqrt1-ll_valuebound2.yml,true,true,7.296937148,196.755456,true,7.446599692,193.417216,ignimbrit
nla-digbench-scaling/sqrt1-ll_valuebound20.yml,true,true,7.346672395,197.443584,true,6.656950629,178.098176,flint
nla-digbench-scaling/sqrt1-ll_valuebound5.yml,true,true,6.972633635,195.489792,true,6.838565374,185.196544,kieselgur
nla-digbench-scaling/sqrt1-ll_valuebound50.yml,true,true,7.014284028,196.702208,true,6.828231453,196.648960,flint
product-lines/elevator_spec14_product03.cil.yml,true,true,10.233701269,236.261376,true,11.018186364,237.817856,flint
product-lines/elevator_spec14_product11.cil.yml,true,true,11.347714667,262.197248,true,11.191284062,273.928192,felsit
product-lines/elevator_spec14_product19.cil.yml,true,true,11.099307975,227.557376,true,10.728562342,294.875136,lignit
product-lines/elevator_spec14_product27.cil.yml,true,true,11.546035134,226.279424,true,10.466679995,237.117440,jumillit
product-lines/elevator_spec1_product01.cil.yml,true,true,9.883715653,224.641024,true,9.813493864,289.218560,kersantit
product-lines/elevator_spec1_product03.cil.yml,true,true,10.130377053,242.868224,true,9.972599287,245.866496,lydit
product-lines/elevator_spec1_product09.cil.yml,true,true,10.076360229,221.290496,true,10.172746938,233.742336,kersantit
product-lines/elevator_spec1_product11.cil.yml,true,true,10.177117026,234.946560,true,10.011338954,231.997440,hawaiit
product-lines/elevator_spec1_product17.cil.yml,true,true,10.585502006,239.345664,true,9.839650925,227.860480,lignit
product-lines/elevator_spec1_product18.cil.yml,false,false(unreach-call),15.401336928,243.699712,false(unreach-call),14.584355631,237.207552,kaolin
product-lines/elevator_spec1_product19.cil.yml,true,true,10.255988461,241.233920,true,10.356773645,241.102848,harzburgit
product-lines/elevator_spec1_product20.cil.yml,false,false(unreach-call),15.401694356,293.715968,false(unreach-call),15.120314467,243.126272,charnockit
product-lines/elevator_spec1_product21.cil.yml,true,true,10.070367924,231.608320,true,10.568223498,231.366656,liparit
product-lines/elevator_spec1_product22.cil.yml,false,false(unreach-call),14.956969075,246.693888,false(unreach-call),15.330814644,251.670528,jacupirangit
product-lines/elevator_spec1_product23.cil.yml,true,true,10.647274024,259.100672,true,10.387109999,300.044288,jumillit
product-lines/elevator_spec1_product24.cil.yml,false,false(unreach-call),16.92610785,280.412160,false(unreach-call),18.62646241,269.684736,essexit
product-lines/elevator_spec1_product25.cil.yml,true,true,10.188810441,230.875136,true,10.576761762,226.574336,charnockit
product-lines/elevator_spec1_product26.cil.yml,false,false(unreach-call),15.442160131,258.711552,false(unreach-call),13.608536143,246.501376,essexit
product-lines/elevator_spec1_product27.cil.yml,true,true,10.969682433,247.177216,true,10.710414913,243.093504,cipollino
product-lines/elevator_spec1_product28.cil.yml,false,false(unreach-call),14.927362164,237.322240,false(unreach-call),15.690056053,363.958272,granulit
product-lines/elevator_spec1_product29.cil.yml,true,true,10.274249167,236.560384,true,10.313313211,248.799232,impaktit
product-lines/elevator_spec1_product30.cil.yml,false,false(unreach-call),14.489768299,266.530816,false(unreach-call),15.368929311,284.823552,essexit
product-lines/elevator_spec1_product31.cil.yml,true,true,10.702918607,236.298240,true,11.138278987,235.429888,foidit
product-lines/elevator_spec1_product32.cil.yml,false,false(unreach-call),15.656953657,276.860928,false(unreach-call),15.54353261,280.006656,lignit
product-lines/elevator_spec2_product01.cil.yml,true,true,10.073707655,242.937856,true,10.751076793,228.077568,aplit
product-lines/elevator_spec2_product03.cil.yml,true,true,10.040043091,228.200448,true,9.501311454,234.561536,biolithe
product-lines/elevator_spec2_product09.cil.yml,true,true,9.758168926,237.699072,true,9.431107158,230.592512,kaolin
product-lines/elevator_spec2_product11.cil.yml,true,true,10.194324603,233.422848,true,10.228008661,231.452672,kieselgur
product-lines/elevator_spec2_product17.cil.yml,true,true,9.654425309,231.038976,true,9.124920833,221.888512,jacupirangit
product-lines/elevator_spec2_product18.cil.yml,false,false(unreach-call),13.834963499,269.586432,false(unreach-call),13.769017772,235.782144,foidit
product-lines/elevator_spec2_product19.cil.yml,true,true,10.209093736,244.273152,true,9.123753714,267.157504,halitit
product-lines/elevator_spec2_product20.cil.yml,false,false(unreach-call),15.312224919,299.704320,false(unreach-call),14.637873194,243.904512,felsit
product-lines/elevator_spec2_product21.cil.yml,true,true,9.928362966,241.299456,true,9.952109488,232.824832,jumillit
product-lines/elevator_spec2_product22.cil.yml,false,false(unreach-call),14.584520108,275.546112,false(unreach-call),15.579500073,248.946688,basalt
product-lines/elevator_spec2_product23.cil.yml,true,true,9.526340496,227.385344,true,9.376658772,222.138368,flint
product-lines/elevator_spec2_product24.cil.yml,false,false(unreach-call),17.235298471,252.887040,false(unreach-call),16.861688055,265.744384,essexit
product-lines/elevator_spec2_product25.cil.yml,true,true,9.361556167,222.072832,true,9.392061882,232.722432,chert
product-lines/elevator_spec2_product26.cil.yml,false,false(unreach-call),13.989498179,237.465600,false(unreach-call),15.005159909,258.174976,lignit
product-lines/elevator_spec2_product27.cil.yml,true,true,9.199726589,238.616576,true,10.556493154,242.835456,jumillit
product-lines/elevator_spec2_product28.cil.yml,false,false(unreach-call),15.194566762,266.788864,false(unreach-call),14.580592666,301.137920,kieselgur
product-lines/elevator_spec2_product29.cil.yml,true,true,9.749451192,221.167616,true,9.856990809,219.738112,kaolin
product-lines/elevator_spec2_product30.cil.yml,false,false(unreach-call),15.168784699,284.483584,false(unreach-call),14.975777333,266.985472,kaolin
product-lines/elevator_spec2_product31.cil.yml,true,true,9.356074264,224.362496,true,9.824206977,264.835072,enderbit
product-lines/elevator_spec2_product32.cil.yml,false,false(unreach-call),16.342729965,278.220800,false(unreach-call),16.509680026,278.482944,charnockit
product-lines/elevator_spec9_product09.cil.yml,true,true,9.407675453,232.026112,true,9.524365967,226.369536,chert
product-lines/elevator_spec9_product11.cil.yml,true,true,9.704982257,266.895360,true,9.733042781,272.543744,charnockit
product-lines/elevator_spec9_product25.cil.yml,true,true,9.6648554,234.881024,true,9.795174062,254.058496,kieselgur
product-lines/elevator_spec9_product26.cil.yml,false,false(unreach-call),16.417836808,235.454464,false(unreach-call),15.641650459,236.539904,kersantit
product-lines/elevator_spec9_product27.cil.yml,true,true,9.392604998,258.637824,true,9.464511475,239.112192,jumillit
product-lines/elevator_spec9_product28.cil.yml,false,false(unreach-call),15.677933593,230.912000,false(unreach-call),15.798308742,310.218752,flint
product-lines/elevator_spec9_product29.cil.yml,true,true,9.869812185,227.926016,true,9.689966416,261.824512,bauxit
product-lines/elevator_spec9_product30.cil.yml,false,false(unreach-call),15.038769782,293.203968,false(unreach-call),15.783976916,246.407168,chondrit
product-lines/elevator_spec9_product31.cil.yml,true,true,10.330701487,290.041856,true,9.976235339,223.752192,cipollino
product-lines/elevator_spec9_product32.cil.yml,false,false(unreach-call),15.365047938,287.412224,false(unreach-call),19.316536273,255.000576,harzburgit
product-lines/email_spec0_product05.cil.yml,true,true,9.652423136,207.220736,true,9.400343183,218.341376,liparit
product-lines/email_spec0_product09.cil.yml,true,true,11.27805557,272.740352,true,11.802332302,272.945152,halitit
product-lines/email_spec0_product10.cil.yml,true,true,9.605037398,212.176896,true,9.812630324,220.876800,hawaiit
product-lines/email_spec0_product11.cil.yml,true,true,10.55526529,255.512576,true,10.42719709,231.841792,charnockit
product-lines/email_spec0_product19.cil.yml,true,true,11.081791773,261.718016,true,11.49728496,260.730880,ignimbrit
product-lines/email_spec0_product24.cil.yml,true,true,11.884714409,259.973120,true,11.758997257,261.828608,kersantit
product-lines/email_spec0_product25.cil.yml,true,true,13.600513438,371.539968,true,13.776017151,362.430464,lignit
product-lines/email_spec0_product27.cil.yml,true,true,14.133779241,328.175616,true,14.132000814,326.238208,harzburgit
product-lines/email_spec0_product36.cil.yml,true,true,12.602665485,268.316672,true,12.212613352,302.034944,cipollino
product-lines/email_spec0_product37.cil.yml,true,true,10.435329462,252.776448,true,12.344537697,256.438272,enderbit
product-lines/email_spec0_product38.cil.yml,true,true,11.853521319,271.212544,true,12.501214014,311.676928,harzburgit
product-lines/email_spec0_product40.cil.yml,true,true,12.798877972,315.920384,true,12.364010008,304.005120,lignit
product-lines/email_spec11_product03.cil.yml,true,true,9.494728221,216.694784,true,8.780876908,218.619904,essexit
product-lines/email_spec11_product07.cil.yml,true,true,10.769797793,288.112640,true,10.797088072,232.849408,lignit
product-lines/email_spec11_product08.cil.yml,true,true,10.181611295,239.001600,true,10.03057485,237.858816,felsit
product-lines/email_spec11_product10.cil.yml,true,true,10.320570731,212.127744,true,10.035386532,243.179520,kieselgur
product-lines/email_spec11_product18.cil.yml,true,true,11.602663918,251.457536,true,11.562358689,262.172672,harzburgit
product-lines/email_spec11_product23.cil.yml,true,true,14.021547919,338.657280,true,13.528170195,324.145152,essexit
product-lines/email_spec11_product24.cil.yml,true,true,13.051169902,263.061504,true,11.588372756,242.053120,impaktit
product-lines/email_spec11_product27.cil.yml,true,true,14.62368631,379.019264,true,14.995072982,349.892608,flint
product-lines/email_spec11_product36.cil.yml,true,true,12.178233335,295.673856,true,11.797854569,277.303296,lydit
product-lines/email_spec11_product37.cil.yml,true,true,10.897009587,248.393728,true,10.547609103,239.108096,evaporit
product-lines/email_spec11_product39.cil.yml,true,true,11.774850076,261.890048,true,11.771307008,283.222016,hawaiit
product-lines/email_spec11_product40.cil.yml,true,true,13.210962281,314.929152,true,12.847202848,316.821504,enderbit
product-lines/email_spec1_product12.cil.yml,true,true,10.473624529,237.031424,true,10.441138752,241.074176,hawaiit
product-lines/email_spec1_product28.cil.yml,true,true,10.984002488,252.166144,true,11.498403558,250.425344,jumillit
product-lines/email_spec7_product13.cil.yml,true,true,10.255940515,237.694976,true,10.297551514,240.619520,essexit
product-lines/email_spec7_product17.cil.yml,true,true,10.954782505,247.099392,true,10.677778921,253.411328,flint
product-lines/email_spec7_product18.cil.yml,true,true,11.216058794,255.320064,true,11.179894884,253.009920,essexit
product-lines/email_spec7_product19.cil.yml,true,true,11.86527191,262.094848,true,11.533656691,243.216384,jacupirangit
product-lines/email_spec7_product23.cil.yml,true,true,13.291341625,309.649408,true,12.890684144,314.773504,kaolin
product-lines/email_spec7_product24.cil.yml,true,true,11.935985208,278.740992,true,12.585769413,267.493376,harzburgit
product-lines/email_spec7_product25.cil.yml,true,true,14.535805869,330.244096,true,13.623107172,354.144256,lignit
product-lines/email_spec7_product27.cil.yml,true,true,15.074642404,373.956608,true,14.570280992,327.385088,essexit
product-lines/email_spec8_product12.cil.yml,true,true,10.48803157,237.801472,true,10.252363483,236.699648,jacupirangit
product-lines/email_spec8_product28.cil.yml,true,true,10.823471759,274.083840,true,10.746424948,234.131456,evaporit
product-lines/email_spec9_product12.cil.yml,true,true,10.322787963,236.994560,true,10.036109566,241.164288,jumillit
product-lines/email_spec9_product28.cil.yml,true,true,10.604184803,252.485632,true,10.680715853,243.359744,flint
